actor_id,actor_login,following
84926,edbizarro,"422,2840,3528,5348,5819,19543,19935,26548,27624,33387,39191,45376,48519,50130,56778,61721,67381,71047,72777,72895,108380,110953,122102,126160,151001,151829,154256,160360,170270,176013,183223,183328,194377,215911,219935,229752,231633,234957,245435,249125,265922,265964,307280,317464,339813,340055,367936,378751,439947,463230,467411,481677,483853,487433,499192,499550,502041,511499,513108,522344,549394,571159,573539,594614,640208,690578,720328,736316,777635,804684,839000,847603,904724,919930,924196,935729,962099,973269,981838,1009240,1036482,1051509,1087213,1107521,1111504,1130694,1134248,1143355,1282324,1322205,1369170,1374633,1393145,1394552,1411284,1430603,1445228,1450004,1454517,1517945,1545005,1556478,1561347,1620107,1623689,1633826,1643522,1656595,1667598,1682202,1838487,1850071,1851973,1853169,1865456,1883082,1891339,1902973,1983984,2123375,2143908,2194624,2281088,2327556,2366216,2572493,2574295,2829600,3068563,3110750,3172683,3182864,3670578,3725595,3753672,3772831,3959744,4070372,4275940,4304794,4316564,4323180,4332182,4573607,4688092,4732915,4801429,4908283,4928401,4977161,5068870,5154322,5287262,5355322,5457236,5701162,5912422,5985247,6032030,6060754,6104262,6169950,6207220,6404401,6525926,6595551,6609289,6767685,6799467,6868147,7255297,7342749,7688126,7718702,7914811,8056274,8228060,8294583,8321115,8449920,8453749,8456633,8547776,8784712,8925112,8977953,9022134,9027363,9141017,9161046,10088900,10116000,10395817,10716925,11093090,11183523,11228182,11351322,12037269,12835911,12927180,13038435,13808883,13812512,13918265,14836763,14843771,14994776,15185752,15933991,15981925,16037749,16060559,16091880,16548933,17324672,17325869,17949635,18500161,19141875,19264782,19337896,19653346,20294432,20451170,20716489,20716798,21243754,21265981,21350353,21983456,23191656,23743547,25737281,25756676,25994411,26059688,26308297,26755058,28670796,28828381,29150857,29507335,30262837,30627780,31683541,32246972,34192225,39279758,40840255,42153618,54807590,54920317"
84929,drhodes,49927092
84942,Yax,*
84956,the1ts,"1497,3515,60632,68415,69778,181261,1778847"
84963,ricardocasares,"5716227,1561955,2933430,872310,110953,93594,7525670,69156,92839,100200,696693,999523,9113740,234957,6692932,69138026,52798353,33182225,7999914,61833561,32464864,1539897,112170,327827,805073,588473,49062,14007590,22168189,34829458,8614811,499088,7841344,395518,284535,920186,1388421,5062034,588616,2973130,16667537,1299233,844215,16347790,11461208,3076393,31477038,6508763,14251570,7357679,3370693,21126731,32831059,29572931,11368523,23460812,9574480,3833520,29119,11595462,13424727,552936,5238698,457999,62564919,40828349,11951801,3676859,24196514,2883484,1693164,3198597,66620157,6391763,26435,507615,11243590,1093738,5580297,105127,47046,310223,15130873,1695613,229881,34928425,775227,4721750,6170607,1634922,73386,7646286,4353795,33943053,28562,8823299,4563394,602961,2776286,696981,2281088,5760625,1162160,2232877,6252638,18229627,1455726,7935491,8005330,1276998,1300796,1812093,31798108,1270987,2363940,301686,587016,223850,747646,7671983,1026125,1151041,18669273,16080180,26229426,1514206,7052836,7724306,1097170,1684999,34045,1268691,19409,4217871,4358746,831617,2029172,20233319,3136577,1530410,19880087,2175521,6324199,76307,570070,11145168,739075,7447701,1923260,80,1500684,4955191,1299646,225407,5320837,489362,13808883,633973,9392750,2289,188257,1149737,13516,210406,447132,141232,1476775,146201,71256,5554486,2123435,1523305,166301,236374,8467,4060187,7794717,14019524,1789,2302254,5072613,246534,749277,79684,4664162,7131,18370605,2663212,533616,5233399,737065,506129,1402241,136109,406477,194400,6929565,176013,19562669,170270,136556,6880091,417268,566463,5027773,2496253,3584723,598919,3907295,56996,3387500,6251703,1665627,79303,21932,4521,176,3236551,201034,10325,1448368,16529337,227909,2294352,499550,1465,10101036,194482,5038030,11096607,10809900,153183,3411958,7565692,4025362,5035625,3726350,13427467,10095631,2081487,449224,11937539,13643225,9742995,1268572,8280645,3982491,7817228,113896,8217766,761444,762949,76308,157534,127343,3451712,455023,4865608,52195,1163554,17815,150330,364727,262641,1468993,678453,1772945,121766,1913805,709159,579,4660316,1217692,170145,244935,1137314,1276067,1220743,1233196,2006839,426886,2008156,956631,238531,899444,3967972,2163083,1259904,8784712,934293,495647,383994,259374,12631,4472489,9287,1382820,633012,10247,669784,1176674,37303,300067,211411,569817,1695075,496903,231686,308049,2467194,1474978,39759,5877145,26528,86659,10652,592149,799078,810438,1889710,1383811,869950,853712,1377,74385,671378,347657,239676,81942,383701,604030,21249,170299,302736,25254,376661,2502500,1966039,755787,139091,4862,178512,712927,681600,13041,165799,37621"
84963,ricardocasares,"663326,5716227,1561955,2933430,872310,110953,93594,7525670,69156,92839,100200,696693,999523,9113740,234957,6692932,69138026,52798353,33182225,7999914,61833561,32464864,1539897,112170,327827,805073,588473,49062,14007590,22168189,34829458,8614811,499088,7841344,395518,284535,920186,1388421,5062034,588616,2973130,16667537,1299233,844215,16347790,11461208,3076393,31477038,6508763,14251570,7357679,3370693,21126731,32831059,29572931,11368523,23460812,9574480,3833520,29119,11595462,13424727,552936,5238698,457999,62564919,40828349,11951801,3676859,24196514,2883484,1693164,3198597,66620157,6391763,26435,507615,11243590,1093738,5580297,105127,47046,310223,15130873,1695613,229881,34928425,775227,4721750,6170607,1634922,73386,7646286,4353795,33943053,28562,8823299,4563394,602961,2776286,696981,2281088,5760625,1162160,2232877,6252638,18229627,1455726,7935491,8005330,1276998,1300796,1812093,31798108,1270987,2363940,301686,587016,223850,747646,7671983,1026125,1151041,18669273,16080180,26229426,1514206,7052836,7724306,1097170,1684999,34045,1268691,19409,4217871,4358746,831617,2029172,20233319,3136577,1530410,19880087,2175521,6324199,76307,570070,11145168,739075,7447701,1923260,80,1500684,4955191,1299646,225407,5320837,489362,13808883,633973,9392750,2289,188257,1149737,13516,210406,447132,141232,1476775,146201,71256,5554486,2123435,1523305,166301,236374,8467,4060187,7794717,14019524,1789,2302254,5072613,246534,749277,79684,4664162,7131,18370605,2663212,533616,5233399,737065,506129,1402241,136109,406477,194400,6929565,176013,19562669,170270,136556,6880091,417268,566463,5027773,2496253,3584723,598919,3907295,56996,3387500,6251703,1665627,79303,21932,4521,176,3236551,201034,10325,1448368,16529337,227909,2294352,499550,1465,10101036,194482,5038030,11096607,10809900,153183,3411958,7565692,4025362,5035625,3726350,13427467,10095631,2081487,449224,11937539,13643225,9742995,1268572,8280645,3982491,7817228,113896,8217766,761444,762949,76308,157534,127343,3451712,455023,4865608,52195,1163554,17815,150330,364727,262641,1468993,678453,1772945,121766,1913805,709159,579,4660316,1217692,170145,244935,1137314,1276067,1233196,2006839,426886,2008156,956631,238531,899444,3967972,2163083,1259904,8784712,934293,495647,383994,259374,12631,4472489,9287,1382820,633012,10247,669784,1176674,37303,300067,211411,569817,1695075,496903,231686,308049,2467194,1474978,39759,5877145,26528,86659,10652,592149,799078,810438,1889710,1383811,869950,853712,1377,74385,671378,347657,239676,81942,383701,604030,21249,170299,302736,25254,376661,2502500,1966039,755787,139091,4862,178512,712927,681600,13041,165799,37621"
84980,a3gz,*
84990,gioy,"4117,5750,7131,13230,13352,63054,980463,1447153,1448961"
84993,kdaily,"4404426,3116755,14626242,9449215,502635,1627352,146127,2185472,1254693"
84997,tacke,"2160,3092,3458,3499,3500,3620,3959,3970,4395,6882,8161,8465,8991,9012,9108,9128,9168,9550,9657,9780,9795,9904,9958,10682,10735,10995,11504,11810,12104,13040,13423,13574,13689,14398,15679,16088,16950,18025,18215,18252,18357,18360,18462,18510,18634,18655,18807,19881,20384,20759,21084,21702,21972,22321,23535,23662,23812,24614,25507,25661,26023,26476,27234,27374,29084,29440,30733,31357,33604,33700,36298,37822,40016,40050,40720,41567,42583,43180,43346,44828,47598,48169,48426,51196,52566,56988,58097,59304,60063,60346,62442,62444,62601,63413,67783,68812,72997,73962,74346,76616,78609,80636,80826,82097,87285,90067,91011,95184,97468,98253,101800,104738,109069,109314,112881,116996,121447,125312,131780,134764,135112,139061,139936,140553,153341,154188,166722,166871,177122,177726,178087,178347,188741,203046,207690,209780,214769,230654,247193,249170,250465,282401,309329,315198,317398,368257,437417,440251,466556,519604,572235,608755,615042,657049,661423,666730,680124,680192,785824,795039,828919,864587,870716,914574,945767,962574,970563,1029795,1098591,1256183,1277485,1327435,1422834,1592685,1610650,1660100,2282546,3115650,5676604,6111229,6993514,9815934,10881147,12739474,41248242,48517487,48558849,53470053"
