jeccard_d,lev_d,type
0.837642207208443,0.7146775688045639,1
0.868773166499003,0.7516573883755228,1
0.39999999999999913,0.12074468085106385,1
0.8984798594093467,0.7199425385183829,1
0.6567852437417646,0.42422547294868884,1
0.9218253968253968,0.724556172782856,1
0.6606741573033649,0.6689241005866711,1
0.9496770307227264,0.7679044313202481,1
0.33333333333333337,0.3485256327361589,1
0.8488733367314971,0.5737014584226349,1
0.7373081156441563,0.6060358857105574,1
0.912061793260682,0.7213967123523733,1
0.7819450087866414,0.6433042964280091,1
0.9255145498834468,0.7456901393925973,1
0.8957984833239889,0.7215928978803363,1
0.8156080275645539,0.704057038042316,1
0.6768627450980388,0.5665362028695322,1
0.9656591488514898,0.7706070026722586,1
0.7797979797979795,0.6116289861914519,1
0.06666666666666667,0.059259259259259275,1
0.6017543859649119,0.45341130604288493,1
0.7482373379512186,0.6126825735676631,1
0.5454545454545463,0.2220634920634918,1
0.5453448512271956,0.3802259655764858,1
0.8566537416880289,0.6880909340370166,1
0.6762565619301918,0.5865189988929139,1
0.9649218806398017,0.8295030766783053,1
0.7400898313844789,0.6544917346679788,1
0.9299200188217072,0.7533026661693966,1
0.894635211117323,0.7298202210954023,1
0.9634479138185634,0.8487990716758957,1
0.9026394632431792,0.7299219560155936,1
0.7736851445210076,0.6203071903299586,1
0.7732742709486882,0.6914657654251124,1
0.9256140350877193,0.7567181522131721,1
0.9636465224184522,0.8094049377490107,1
0.724513509200218,0.5840155500911842,1
0.7644247748709635,0.6042976562950764,1
0.7718551690965468,0.5404170381694986,1
0.8309640964073843,0.6916638069521452,1
0.6342857142857129,0.33923883300265417,1
0.9148679729455848,0.7582516519001522,1
0.8057670618776491,0.5916713566279845,1
0.6484848484848487,0.32305520514822844,1
0.8160221958387378,0.6718505605657125,1
0.7671936614161877,0.6630017012325863,1
0.7284868812821353,0.6031276950196012,1
0.9177726120033812,0.7615890863841682,1
0.9852944862155386,0.835753000726458,1
0.8241005608706126,0.6070484343511784,1
0.8390527919631737,0.6769703650243469,1
0.4976452119309262,0.13710099424385125,1
0.3333333333333325,0.11519240379810056,1
0.6919298245614052,0.28919883884596875,1
0.40905017085994744,0.5119056428580224,1
0.9830743525480365,0.8015488522491004,1
0.886897731150959,0.7569240687161665,1
0.8430558423326822,0.5859250537271837,1
0.6246943115364161,0.47165808578351864,1
0.8831835824339601,0.5918474767023311,1
0.8810702804512199,0.7287579138272654,1
0.7380383484598907,0.5840183921875021,1
0.8075137189547804,0.575589286020171,1
0.653668763102717,0.5491903843110348,1
0.39677419354839055,0.3917770737327173,1
0.9763142101884629,0.797637948655704,1
0.9473861210255858,0.8110947324767326,1
0.9814884891043358,0.8156420471462412,1
0.7835019799779188,0.647860352136477,1
0.8192305339652939,0.62420943379275,1
0.8773708749503202,0.6833516088647598,1
0.40821319913922643,0.2186514498886407,1
0.9679717311512921,0.8214630705546337,1
0.9528515226258891,0.6744146058115187,1
0.0,0.0,1
