Source,Target,Type,Id,Label,timeset,Weight
1,406,Undirected,188,,,11965964
1,409,Undirected,189,,,864
1,416,Undirected,190,,,2232
1,417,Undirected,191,,,1210
1,418,Undirected,192,,,868
1,420,Undirected,193,,,910
1,423,Undirected,194,,,535912
1,425,Undirected,195,,,188
1,431,Undirected,196,,,741314
1,432,Undirected,197,,,27696890
1,434,Undirected,198,,,5624
1,439,Undirected,199,,,28
1,441,Undirected,200,,,5056062
1,442,Undirected,201,,,605072
1,443,Undirected,202,,,433188
1,447,Undirected,203,,,810252
1,452,Undirected,204,,,3616446
1,453,Undirected,205,,,13556
1,459,Undirected,206,,,4291230
1,463,Undirected,207,,,216
1,466,Undirected,208,,,1956
1,467,Undirected,209,,,1163778
1,468,Undirected,210,,,8
1,469,Undirected,211,,,30762696
1,471,Undirected,212,,,375640
1,472,Undirected,213,,,720
1,475,Undirected,214,,,25279456
1,476,Undirected,215,,,1936
1,477,Undirected,216,,,477690
1,483,Undirected,217,,,1250670
1,484,Undirected,218,,,18224
1,488,Undirected,219,,,62953232
1,492,Undirected,220,,,86
1,494,Undirected,221,,,462940
1,495,Undirected,222,,,3389666
1,497,Undirected,223,,,142
1,499,Undirected,224,,,1170
1,501,Undirected,225,,,12
1,503,Undirected,226,,,1084
1,506,Undirected,227,,,1922
1,508,Undirected,228,,,596644
1,509,Undirected,229,,,439400
1,512,Undirected,230,,,2990
1,513,Undirected,231,,,888314
1,516,Undirected,232,,,6446
1,517,Undirected,233,,,24157122
1,518,Undirected,234,,,746
1,520,Undirected,235,,,622
1,523,Undirected,236,,,1118
1,526,Undirected,237,,,24172
1,528,Undirected,238,,,157266
1,530,Undirected,239,,,83852
1,532,Undirected,240,,,130
1,533,Undirected,241,,,17160
1,534,Undirected,242,,,18688
1,536,Undirected,243,,,2768370
1,540,Undirected,244,,,4270948
1,543,Undirected,245,,,30644
1,546,Undirected,246,,,3443984
1,547,Undirected,247,,,573330
1,549,Undirected,248,,,8172
1,550,Undirected,249,,,2071208
1,552,Undirected,250,,,666
1,553,Undirected,251,,,270
1,555,Undirected,252,,,1824
1,557,Undirected,253,,,738
1,558,Undirected,254,,,34
1,559,Undirected,255,,,224
1,560,Undirected,256,,,22
1,564,Undirected,257,,,237002
1,566,Undirected,258,,,400
1,568,Undirected,259,,,8226
1,573,Undirected,260,,,18
1,574,Undirected,261,,,336
1,575,Undirected,262,,,919728
1,577,Undirected,263,,,5858
1,579,Undirected,264,,,187612
1,580,Undirected,265,,,64
1,583,Undirected,266,,,226
1,584,Undirected,267,,,358224
1,586,Undirected,268,,,4868
1,588,Undirected,269,,,883992
1,589,Undirected,270,,,30094
1,591,Undirected,271,,,172
1,592,Undirected,272,,,24
1,598,Undirected,273,,,84
1,602,Undirected,274,,,12134
1,604,Undirected,275,,,25132
1,605,Undirected,276,,,47008
1,607,Undirected,277,,,1552
1,608,Undirected,278,,,26716
1,609,Undirected,279,,,2230028
1,612,Undirected,280,,,6622
1,614,Undirected,281,,,4
1,615,Undirected,282,,,772
1,618,Undirected,283,,,126
1,619,Undirected,284,,,44472
1,620,Undirected,285,,,7444
1,622,Undirected,286,,,7774
1,624,Undirected,287,,,1836
1,654,Undirected,288,,,642
1,655,Undirected,289,,,15950
1,656,Undirected,290,,,678486
1,657,Undirected,291,,,11420
1,661,Undirected,292,,,764
1,664,Undirected,293,,,48852256
1,666,Undirected,294,,,374
1,668,Undirected,295,,,1456356
1,670,Undirected,296,,,127248
1,672,Undirected,297,,,595870
1,676,Undirected,298,,,468534
1,677,Undirected,299,,,120168
1,679,Undirected,300,,,12500466
1,681,Undirected,301,,,35674016
1,682,Undirected,302,,,2400
1,683,Undirected,303,,,5004
1,684,Undirected,304,,,23478116
1,686,Undirected,305,,,24
1,687,Undirected,306,,,3318
1,689,Undirected,307,,,4560
1,690,Undirected,308,,,1500
1,691,Undirected,309,,,7062
1,695,Undirected,310,,,8268
1,696,Undirected,311,,,12
1,697,Undirected,312,,,1088
1,701,Undirected,313,,,20162
1,702,Undirected,314,,,10970
1,703,Undirected,315,,,156612
1,704,Undirected,316,,,490
1,708,Undirected,317,,,22730
1,709,Undirected,318,,,700900
1,713,Undirected,319,,,5260
1,715,Undirected,320,,,566
1,718,Undirected,321,,,16274992
1,720,Undirected,322,,,2233636
1,722,Undirected,323,,,20648062
1,723,Undirected,324,,,5127302
1,725,Undirected,325,,,4190
1,727,Undirected,326,,,307198
1,728,Undirected,327,,,16
1,729,Undirected,328,,,16070
1,730,Undirected,329,,,2258
1,735,Undirected,330,,,23012
1,736,Undirected,331,,,896
1,737,Undirected,332,,,2119980
1,739,Undirected,333,,,5324
1,740,Undirected,334,,,649928
1,741,Undirected,335,,,33654280
1,743,Undirected,336,,,5210
1,745,Undirected,337,,,14595320
1,747,Undirected,338,,,480290
1,749,Undirected,339,,,50
1,751,Undirected,340,,,2652
1,753,Undirected,341,,,105502
1,754,Undirected,342,,,256
1,755,Undirected,343,,,1967806
1,756,Undirected,344,,,272
1,757,Undirected,345,,,238
1,761,Undirected,346,,,79284
1,763,Undirected,347,,,8
1,765,Undirected,348,,,5876
1,766,Undirected,349,,,1047138
1,769,Undirected,350,,,171864
1,770,Undirected,351,,,11924
1,771,Undirected,352,,,5960
1,772,Undirected,353,,,16732
1,773,Undirected,354,,,1434
1,774,Undirected,355,,,16
1,776,Undirected,356,,,92510
1,777,Undirected,357,,,1410518
1,779,Undirected,358,,,39245644
1,781,Undirected,359,,,1644
1,782,Undirected,360,,,6527472
1,784,Undirected,361,,,16974
1,785,Undirected,362,,,36
1,787,Undirected,363,,,3442
1,791,Undirected,364,,,19478
1,793,Undirected,365,,,82346
1,795,Undirected,366,,,53408
1,796,Undirected,367,,,1220
1,797,Undirected,368,,,12602
1,798,Undirected,369,,,1068076
1,801,Undirected,370,,,18
1,802,Undirected,371,,,31600
1,803,Undirected,372,,,4
1,804,Undirected,373,,,11957616
1,807,Undirected,374,,,26160
1,808,Undirected,375,,,4664410
1,809,Undirected,376,,,121316
1,810,Undirected,377,,,294
1,814,Undirected,378,,,742
1,815,Undirected,379,,,11000
1,817,Undirected,380,,,5840
1,819,Undirected,381,,,644
1,820,Undirected,382,,,2824
1,821,Undirected,383,,,129652
1,823,Undirected,384,,,64
1,827,Undirected,385,,,58904
1,829,Undirected,386,,,33318
1,833,Undirected,387,,,5164
1,836,Undirected,388,,,2289424
1,842,Undirected,389,,,22876
1,843,Undirected,390,,,112
1,844,Undirected,391,,,21564252
1,848,Undirected,392,,,20
1,849,Undirected,393,,,12930
1,851,Undirected,394,,,92
1,853,Undirected,395,,,3174
1,854,Undirected,396,,,402
1,856,Undirected,397,,,36
1,859,Undirected,398,,,2042
1,860,Undirected,399,,,1052
1,863,Undirected,400,,,12
1,864,Undirected,401,,,164
1,866,Undirected,402,,,4079452
1,868,Undirected,403,,,1860
1,870,Undirected,404,,,351810880
1,872,Undirected,405,,,258928
1,873,Undirected,406,,,804
1,874,Undirected,407,,,1660
1,877,Undirected,408,,,254936
1,878,Undirected,409,,,214
1,879,Undirected,410,,,88
1,882,Undirected,411,,,298340
1,884,Undirected,412,,,6028600
1,885,Undirected,413,,,84952
1,886,Undirected,414,,,1828
1,888,Undirected,415,,,12
1,894,Undirected,416,,,49352
1,895,Undirected,417,,,9862144
1,907,Undirected,418,,,120
1,908,Undirected,419,,,55450
1,909,Undirected,420,,,77414
1,910,Undirected,421,,,1108
1,911,Undirected,422,,,5030164
1,912,Undirected,423,,,276620
1,914,Undirected,424,,,132
1,916,Undirected,425,,,442
1,917,Undirected,426,,,223708
1,919,Undirected,427,,,12
1,926,Undirected,428,,,21660272
1,927,Undirected,429,,,296
1,928,Undirected,430,,,54190
1,929,Undirected,431,,,1156
1,930,Undirected,432,,,28342370
1,931,Undirected,433,,,3510
1,932,Undirected,434,,,4
1,933,Undirected,435,,,856
1,937,Undirected,436,,,490876
1,938,Undirected,437,,,2756
1,939,Undirected,438,,,17024
1,940,Undirected,439,,,220752
1,941,Undirected,440,,,11343596
1,943,Undirected,441,,,3829648
1,945,Undirected,442,,,64606
1,947,Undirected,443,,,388
1,950,Undirected,444,,,238
1,951,Undirected,445,,,2368
1,952,Undirected,446,,,6468
1,953,Undirected,447,,,276584
1,954,Undirected,448,,,74466
1,955,Undirected,449,,,202106
1,956,Undirected,450,,,2298
1,959,Undirected,451,,,50
1,963,Undirected,452,,,9320
1,965,Undirected,453,,,449948512
1,967,Undirected,454,,,134002
1,970,Undirected,455,,,120
1,972,Undirected,456,,,17470
1,974,Undirected,457,,,14816
1,976,Undirected,458,,,658
1,977,Undirected,459,,,700
1,978,Undirected,460,,,11567096
1,981,Undirected,461,,,316
1,984,Undirected,462,,,446598
1,986,Undirected,463,,,22
1,988,Undirected,464,,,26432448
1,990,Undirected,465,,,648
1,991,Undirected,466,,,944964
1,993,Undirected,467,,,4192
1,994,Undirected,468,,,20240
1,996,Undirected,469,,,126986
1,997,Undirected,470,,,220
1,1000,Undirected,471,,,6
2,3,Undirected,473,,,742770880
2,5,Undirected,474,,,406749664
2,6,Undirected,475,,,1697715200
2,9,Undirected,476,,,2042464256
2,10,Undirected,477,,,20323296
2,11,Undirected,478,,,675878
2,15,Undirected,479,,,174
2,18,Undirected,480,,,103580
2,22,Undirected,481,,,405084512
2,23,Undirected,482,,,6397566464
2,24,Undirected,483,,,214413376
2,27,Undirected,484,,,508860
2,30,Undirected,485,,,637976
2,34,Undirected,486,,,23541876
2,37,Undirected,487,,,28086
2,40,Undirected,488,,,266064720
2,42,Undirected,489,,,5843668
2,43,Undirected,490,,,238
2,44,Undirected,491,,,187778
2,47,Undirected,492,,,3040
2,53,Undirected,493,,,3690290
2,56,Undirected,494,,,436138
2,61,Undirected,495,,,29562
2,62,Undirected,496,,,4
2,64,Undirected,497,,,271476
2,65,Undirected,498,,,28906
2,71,Undirected,499,,,2694786
2,75,Undirected,500,,,312547328
2,78,Undirected,501,,,22
2,80,Undirected,502,,,9574
2,81,Undirected,503,,,1415128576
2,86,Undirected,504,,,1951077760
2,87,Undirected,505,,,117022064
2,88,Undirected,506,,,3144556
2,93,Undirected,507,,,94
2,94,Undirected,508,,,34706
2,95,Undirected,509,,,161740112
2,96,Undirected,510,,,7378
2,97,Undirected,511,,,67561360
2,98,Undirected,512,,,1918
2,99,Undirected,513,,,334
2,100,Undirected,514,,,390
2,101,Undirected,515,,,5457896
2,103,Undirected,516,,,31804
2,104,Undirected,517,,,54329192
2,106,Undirected,518,,,224394
2,107,Undirected,519,,,4140661760
2,108,Undirected,520,,,13654192
2,109,Undirected,521,,,4991182
2,110,Undirected,522,,,386
2,114,Undirected,523,,,215430
2,118,Undirected,524,,,52669264
2,119,Undirected,525,,,16975096
2,120,Undirected,526,,,20624
2,124,Undirected,527,,,689012
2,125,Undirected,528,,,3904
2,126,Undirected,529,,,57730
2,127,Undirected,530,,,222
2,128,Undirected,531,,,504
2,129,Undirected,532,,,273960
2,134,Undirected,533,,,28698171392
2,135,Undirected,534,,,40392
2,138,Undirected,535,,,22610808
2,142,Undirected,536,,,17617266
2,143,Undirected,537,,,41246276
2,144,Undirected,538,,,615482
2,145,Undirected,539,,,63635632
2,146,Undirected,540,,,28310904
2,149,Undirected,541,,,558
2,155,Undirected,542,,,30721182
2,156,Undirected,543,,,18196028
2,158,Undirected,544,,,8321556
2,161,Undirected,545,,,2012
2,162,Undirected,546,,,14
2,165,Undirected,547,,,3268
2,166,Undirected,548,,,107148400
2,168,Undirected,549,,,98
2,172,Undirected,550,,,55436
2,177,Undirected,551,,,1220356
2,178,Undirected,552,,,28
2,179,Undirected,553,,,43728744
2,180,Undirected,554,,,1384
2,183,Undirected,555,,,342302304
2,186,Undirected,556,,,6011196
2,192,Undirected,557,,,6436872
2,193,Undirected,558,,,101704
2,197,Undirected,559,,,1004
2,198,Undirected,560,,,364192
2,200,Undirected,561,,,61184036864
2,201,Undirected,562,,,1101978
2,205,Undirected,563,,,74930
2,208,Undirected,564,,,18
2,209,Undirected,565,,,507166
2,214,Undirected,566,,,34798096
2,216,Undirected,567,,,53028704
2,222,Undirected,568,,,896
2,224,Undirected,569,,,8
2,230,Undirected,570,,,15909122
2,232,Undirected,571,,,34840
2,234,Undirected,572,,,662
2,237,Undirected,573,,,20069027840
2,238,Undirected,574,,,208044
2,239,Undirected,575,,,13600265216
2,240,Undirected,576,,,86348000
2,241,Undirected,577,,,5283414016
2,254,Undirected,578,,,280628096
2,255,Undirected,579,,,100862
2,262,Undirected,580,,,1836
2,264,Undirected,581,,,10081302
2,265,Undirected,582,,,12950220
2,266,Undirected,583,,,2120
2,271,Undirected,584,,,1108
2,273,Undirected,585,,,586
2,276,Undirected,586,,,58774
2,277,Undirected,587,,,2440
2,278,Undirected,588,,,756
2,280,Undirected,589,,,1612
2,282,Undirected,590,,,2294
2,286,Undirected,591,,,998565120
2,288,Undirected,592,,,415030
2,289,Undirected,593,,,128668
2,290,Undirected,594,,,200872320
2,291,Undirected,595,,,58007940
2,295,Undirected,596,,,2880
2,296,Undirected,597,,,13404
2,301,Undirected,598,,,29269144
2,302,Undirected,599,,,6
2,303,Undirected,600,,,29181828
2,304,Undirected,601,,,20550
2,305,Undirected,602,,,5791854
2,309,Undirected,603,,,198
2,312,Undirected,604,,,24416
2,313,Undirected,605,,,19017298
2,315,Undirected,606,,,356
2,317,Undirected,607,,,10160
2,318,Undirected,608,,,5174
2,322,Undirected,609,,,14440
2,323,Undirected,610,,,3669402
2,324,Undirected,611,,,10066
2,325,Undirected,612,,,779962
2,326,Undirected,613,,,7173744
2,330,Undirected,614,,,238
2,335,Undirected,615,,,2776926976
2,336,Undirected,616,,,2
2,338,Undirected,617,,,161460704
2,339,Undirected,618,,,687808128
2,341,Undirected,619,,,630330
2,343,Undirected,620,,,36545404
2,344,Undirected,621,,,227052
2,346,Undirected,622,,,21724
2,349,Undirected,623,,,98
2,350,Undirected,624,,,1542452096
2,351,Undirected,625,,,3168470
2,356,Undirected,626,,,4916
2,357,Undirected,627,,,180782
2,358,Undirected,628,,,228
2,360,Undirected,629,,,4
2,364,Undirected,630,,,562
2,365,Undirected,631,,,3583534
2,370,Undirected,632,,,222
2,373,Undirected,633,,,59070464
2,374,Undirected,634,,,128
2,375,Undirected,635,,,18363516
2,382,Undirected,636,,,5338
2,383,Undirected,637,,,2162468
2,385,Undirected,638,,,1910
2,387,Undirected,639,,,290
2,390,Undirected,640,,,40
2,391,Undirected,641,,,3527479296
2,395,Undirected,642,,,274932000
2,396,Undirected,643,,,1782
2,397,Undirected,644,,,1054
2,399,Undirected,645,,,112
2,400,Undirected,646,,,3073796
2,402,Undirected,647,,,4376
2,406,Undirected,648,,,20586120
2,409,Undirected,649,,,452
2,416,Undirected,650,,,42250
2,417,Undirected,651,,,6
2,418,Undirected,652,,,278
2,420,Undirected,653,,,312
2,425,Undirected,654,,,920
2,432,Undirected,655,,,12512784
2,434,Undirected,656,,,2003377664
2,439,Undirected,657,,,876
2,441,Undirected,658,,,14527540
2,442,Undirected,659,,,5330758
2,443,Undirected,660,,,61736
2,447,Undirected,661,,,822526
2,450,Undirected,662,,,15249294
2,452,Undirected,663,,,3692668
2,453,Undirected,664,,,216680
2,459,Undirected,665,,,6239442
2,460,Undirected,666,,,178
2,461,Undirected,667,,,278208
2,462,Undirected,668,,,842067264
2,463,Undirected,669,,,12604
2,466,Undirected,670,,,1008
2,467,Undirected,671,,,1561722880
2,469,Undirected,672,,,218707952
2,475,Undirected,673,,,54625896
2,476,Undirected,674,,,1984
2,477,Undirected,675,,,5810314
2,483,Undirected,676,,,15928
2,484,Undirected,677,,,2532
2,488,Undirected,678,,,61349328
2,493,Undirected,679,,,979884
2,494,Undirected,680,,,3002064
2,495,Undirected,681,,,3113560
2,497,Undirected,682,,,284
2,503,Undirected,683,,,48
2,505,Undirected,684,,,2072
2,506,Undirected,685,,,3892
2,508,Undirected,686,,,10520
2,513,Undirected,687,,,4004
2,516,Undirected,688,,,10010
2,517,Undirected,689,,,53917028
2,518,Undirected,690,,,27302
2,520,Undirected,691,,,1204
2,523,Undirected,692,,,32
2,526,Undirected,693,,,31294
2,529,Undirected,694,,,188
2,530,Undirected,695,,,862262
2,531,Undirected,696,,,265454016
2,533,Undirected,697,,,408314
2,536,Undirected,698,,,4010466
2,540,Undirected,699,,,5505898
2,543,Undirected,700,,,251336
2,544,Undirected,701,,,546
2,546,Undirected,702,,,9686
2,547,Undirected,703,,,736744192
2,550,Undirected,704,,,61070
2,553,Undirected,705,,,8
2,557,Undirected,706,,,7184
2,559,Undirected,707,,,5612
2,564,Undirected,708,,,27490
2,567,Undirected,709,,,931998
2,568,Undirected,710,,,35036
2,570,Undirected,711,,,2007457152
2,575,Undirected,712,,,26295318
2,577,Undirected,713,,,5834
2,579,Undirected,714,,,112829136
2,582,Undirected,715,,,80
2,584,Undirected,716,,,6576
2,586,Undirected,717,,,773334
2,588,Undirected,718,,,1160320
2,589,Undirected,719,,,196952
2,591,Undirected,720,,,181764
2,592,Undirected,721,,,744
2,597,Undirected,722,,,252
2,598,Undirected,723,,,3430
2,599,Undirected,724,,,192
2,602,Undirected,725,,,215746
2,604,Undirected,726,,,68432
2,605,Undirected,727,,,85860
2,607,Undirected,728,,,4709256
2,608,Undirected,729,,,72004224
2,609,Undirected,730,,,470306
2,613,Undirected,731,,,70214400
2,619,Undirected,732,,,2348904
2,620,Undirected,733,,,7132208
2,624,Undirected,734,,,2796
2,631,Undirected,735,,,612676
2,654,Undirected,736,,,654
2,655,Undirected,737,,,19336
2,656,Undirected,738,,,2607556
2,657,Undirected,739,,,1632
2,664,Undirected,740,,,4338544
2,665,Undirected,741,,,8
2,666,Undirected,742,,,368
2,668,Undirected,743,,,1936
2,672,Undirected,744,,,70666
2,676,Undirected,745,,,6415844
2,679,Undirected,746,,,971428
2,681,Undirected,747,,,8163430
2,682,Undirected,748,,,1708
2,683,Undirected,749,,,39626
2,684,Undirected,750,,,16264
2,686,Undirected,751,,,55134
2,687,Undirected,752,,,65852
2,689,Undirected,753,,,13508
2,690,Undirected,754,,,99030
2,691,Undirected,755,,,135420384
2,695,Undirected,756,,,1250
2,697,Undirected,757,,,6454
2,701,Undirected,758,,,69792
2,702,Undirected,759,,,4002
2,708,Undirected,760,,,83992
2,709,Undirected,761,,,567902
2,710,Undirected,762,,,16
2,713,Undirected,763,,,34640
2,715,Undirected,764,,,986
2,718,Undirected,765,,,15561166
2,720,Undirected,766,,,120
2,722,Undirected,767,,,116027992
2,723,Undirected,768,,,8592274
2,725,Undirected,769,,,3608
2,727,Undirected,770,,,339786
2,728,Undirected,771,,,68
2,729,Undirected,772,,,79430
2,730,Undirected,773,,,25096
2,733,Undirected,774,,,24
2,735,Undirected,775,,,342
2,736,Undirected,776,,,1638
2,737,Undirected,777,,,615612
2,738,Undirected,778,,,1114392
2,739,Undirected,779,,,28936
2,740,Undirected,780,,,80620
2,741,Undirected,781,,,5880886
2,742,Undirected,782,,,30830
2,743,Undirected,783,,,72358
2,746,Undirected,784,,,912
2,747,Undirected,785,,,1317608832
2,748,Undirected,786,,,56
2,751,Undirected,787,,,2032
2,753,Undirected,788,,,9464
2,755,Undirected,789,,,6780
2,757,Undirected,790,,,184
2,763,Undirected,791,,,2170146
2,765,Undirected,792,,,32
2,766,Undirected,793,,,1376364800
2,769,Undirected,794,,,20592
2,770,Undirected,795,,,44976
2,771,Undirected,796,,,1252896
2,772,Undirected,797,,,10745748480
2,773,Undirected,798,,,10750
2,776,Undirected,799,,,230
2,777,Undirected,800,,,805606
2,778,Undirected,801,,,1084
2,782,Undirected,802,,,121642
2,784,Undirected,803,,,364
2,787,Undirected,804,,,11500
2,788,Undirected,805,,,6401718
2,789,Undirected,806,,,456
2,791,Undirected,807,,,548
2,793,Undirected,808,,,113489752
2,795,Undirected,809,,,35780
2,796,Undirected,810,,,8
2,797,Undirected,811,,,10082
2,798,Undirected,812,,,228
2,801,Undirected,813,,,48
2,802,Undirected,814,,,155828
2,804,Undirected,815,,,10672
2,807,Undirected,816,,,33964
2,808,Undirected,817,,,213596
2,809,Undirected,818,,,386158
2,810,Undirected,819,,,4044
2,814,Undirected,820,,,798
2,815,Undirected,821,,,181556512
2,817,Undirected,822,,,2432
2,820,Undirected,823,,,4806
2,821,Undirected,824,,,59510268
2,827,Undirected,825,,,129190
2,828,Undirected,826,,,2818
2,829,Undirected,827,,,59632
2,833,Undirected,828,,,8
2,836,Undirected,829,,,784702
2,844,Undirected,830,,,218210
2,848,Undirected,831,,,100
2,849,Undirected,832,,,13470
2,851,Undirected,833,,,15632
2,852,Undirected,834,,,124736
2,853,Undirected,835,,,136916
2,854,Undirected,836,,,260
2,859,Undirected,837,,,3668
2,860,Undirected,838,,,522571072
2,861,Undirected,839,,,7166
2,864,Undirected,840,,,440
2,865,Undirected,841,,,431156736
2,866,Undirected,842,,,197692
2,870,Undirected,843,,,5621084
2,872,Undirected,844,,,163232
2,874,Undirected,845,,,652
2,877,Undirected,846,,,1615010
2,878,Undirected,847,,,2214
2,882,Undirected,848,,,35621796
2,884,Undirected,849,,,129014984
2,885,Undirected,850,,,21198
2,886,Undirected,851,,,4770
2,892,Undirected,852,,,214334
2,894,Undirected,853,,,1405180
2,895,Undirected,854,,,807538
2,896,Undirected,855,,,15578
2,899,Undirected,856,,,160208896
2,902,Undirected,857,,,46
2,908,Undirected,858,,,41740
2,909,Undirected,859,,,4292386
2,910,Undirected,860,,,21492
2,911,Undirected,861,,,57046
2,912,Undirected,862,,,53738600
2,914,Undirected,863,,,163076
2,915,Undirected,864,,,16699748
2,916,Undirected,865,,,4470
2,917,Undirected,866,,,7986654
2,919,Undirected,867,,,311142
