,actor_id,org_id
5820,2807595,35632158
5822,2807595,17474696
5824,2807595,6154722
5825,2807595,4269340
5826,2807595,8596759
5827,2807595,55771979
5828,2807595,25720743
5829,2807595,57586839
5832,2807595,5667695
5835,2807595,2695301
5836,2807595,43830688
5838,2807595,8395775
5840,2807595,28890921
5842,2807595,16084741
5846,2807595,59452120
5851,2807595,17187941
5852,2807595,48815312
5858,2807620,11850518
5860,2807664,1699795
5861,2807685,1396951
5862,2807685,3839783
5864,2807685,5912469
5865,2807685,1287123
5868,2807685,22225832
5869,2807685,614886
5871,2807685,12085842
5876,2807712,14101776
5911,2807712,1609975
5916,2807712,37274346
5917,2807712,25166847
5929,2807712,2291562
5932,2807712,51322845
5935,2807712,19556314
5939,2807712,14859535
5943,2807738,2869983
5944,2807738,14985918
5966,2807738,56258091
6025,2807739,6759744
6182,2807739,50762202
6199,2807764,18713232
6203,2807764,7230330
6233,2807772,15859888
6264,2807807,499557
6309,2807847,473791
6310,2807847,14794571
6314,2807853,332607
6324,2807888,15658638
6326,2807888,28732122
6643,2807888,47602533
6688,2807891,2314423
6689,2807891,22800682
6691,2807891,32934255
6693,2807891,23510677
6694,2807891,14796310
6697,2807891,5667695
6701,2807891,25720743
6713,2807984,181234
6714,2807984,34998332
6715,2807995,56739293
6724,2807999,33815469
6755,2808008,6154722
6759,2808008,24623853
6766,2808025,2615587
6769,2808046,42757093
6793,2808046,40150215
6921,2808092,5658226
6928,2808092,18597647
6937,2808155,8749848
6938,2808155,15658638
6940,2808166,32112113
6944,2808242,3902527
6945,2808242,50188264
6994,2808287,1342004
6995,2808296,3406112
6996,2808296,38494721
6997,2808296,20544158
7009,2808302,5430905
7010,2808302,96669
7011,2808302,870325
7016,2808302,7628018
7018,2808302,2566135
7027,2808302,28738760
7028,2808302,13789189
7034,2808302,7623406
7036,2808302,17973670
7038,2808302,603863
7039,2808302,12404246
7043,2808302,20479975
7047,2808302,12724356
7048,2808302,25485211
7053,2808302,30761128
7055,2808302,28156855
7058,2808302,16611805
7059,2808302,30638520
7062,2808302,32776943
7064,2808302,33784865
7066,2808302,49116234
7067,2808302,35321309
7068,2808302,35248711
7075,2808302,59021421
7083,2808302,53057619
7084,2808302,39767798
7085,2808302,47152844
7086,2808302,33131755
7088,2808302,47226593
7093,2808302,19159390
7096,2808302,46413578
7099,2808302,26358566
7102,2808302,48613570
7108,2808302,59938138
7109,2808302,50994705
7113,2808339,2678858
7120,2808358,6154722
7145,2808420,13966722
7196,2808465,17888862
7201,2808486,9273473
7203,2808486,6154722
7204,2808486,13745663
7208,2808515,8136974
7209,2808515,43788671
7210,2808553,20110961
7212,2808553,11531290
7279,2808553,9919
7294,2808557,6844498
7340,2808694,143937
7341,2808694,183174
7343,2808694,21117230
7361,2808728,19274965
7372,2808838,14127308
7378,2808838,32810035
7380,2808838,20581123
7381,2808838,29004773
7382,2808838,50256588
7383,2808838,27521938
7386,2808838,16943930
7387,2808838,17187941
7398,2808897,3299148
7460,2809078,13873561
7463,2809099,6154722
7467,2809099,46634674
7480,2809241,3116319
7482,2809249,11653218
7523,2809330,5713248
7524,2809330,324832
7529,2809330,40702162
7542,2809368,17056307
7560,2809468,29733149
7629,2809478,1720087
7632,2809483,7392261
7634,2809483,28507035
7637,2809491,22534815
8284,2809538,12449437
8287,2809568,33663932
8288,2809568,9343010
8289,2809568,3299148
8290,2809568,24789812
8292,2809616,8669393
8296,2809616,12798053
8297,2809616,13629408
8299,2809616,36015203
8300,2809616,3909640
8303,2809616,54469796
8307,2809694,47276035
8310,2809731,49783377
8388,2809762,19678013
8434,2809796,27453006
8465,2810059,6764390
8468,2810060,8421027
8473,2810060,5087346
8482,2810071,13662162
8492,2810166,28704632
8495,2810172,17243247
8496,2810177,1125575
8500,2810187,20147732
8660,2810191,1396951
8661,2810191,13144859
8667,2810191,600935
8669,2810191,2839337
8670,2810201,52826471
8672,2810214,40669519
8682,2810237,317776
8683,2810237,42472604
8703,2810345,3778081
8708,2810387,453694
8723,2810624,13431062
8753,2810624,13468628
8770,2810624,13463624
8776,2810624,1233618
8809,2810691,11724251
8811,2810691,16943930
8815,2810722,51932459
8817,2810747,47359
8819,2810757,2905043
8821,2810757,47359
8822,2810757,13245940
8824,2810757,43974506
8825,2810757,45523307
8842,2810809,686511
8849,2810809,40724166
8851,2810812,13152953
8852,2810812,18389035
8854,2810835,22479449
8855,2810835,6844498
8859,2810904,1569173
8860,2810941,2810941
8875,2811163,2314423
8876,2811172,42788188
8877,2811183,59590565
8890,2811262,55568125
8891,2811291,10343544
8902,2811330,729418
8903,2811330,19655730
8910,2811330,878437
8920,2811378,9930394
8925,2811378,42633944
8932,2811396,473791
8934,2811396,26310541
8935,2811396,16785467
8936,2811396,7802525
9086,2811396,1342004
9092,2811396,50385096
9118,2811408,453694
9142,2811509,48372447
9144,2811511,2695301
9145,2811511,57352675
9146,2811537,18183427
9148,2811550,46466
9151,2811550,4048232
9153,2811550,19846919
9158,2811550,32776943
9159,2811550,1342004
9160,2811550,17074854
9161,2811550,10203055
9175,2811593,11653218
9177,2811593,1609975
9180,2811593,7429349
9182,2811593,12301619
9183,2811593,14101776
9185,2811593,18132660
9191,2811593,30044
9192,2811593,17888862
9198,2811593,6083614
9214,2811593,3579888
9223,2811593,59829729
9224,2811593,2800170
9249,2811638,23139751
9250,2811659,170574
9251,2811659,5191791
9275,2811779,7600810
9276,2811785,47359
9282,2811785,44968
9290,2811785,6877001
9293,2811785,25406560
9294,2811885,10203055
9296,2811885,962416
9297,2811885,14110142
9300,2811885,38444003
9301,2811885,4604537
9302,2811885,761456
9303,2811885,46413578
9304,2811885,44036562
9305,2811885,23416667
9306,2811885,48267461
9312,2811912,919116
9321,2811984,36015203
9327,2811986,33032233
9335,2812067,22479449
9348,2812092,52468242
9350,2812155,19427396
9354,2812163,828722
9356,2812163,29886630
9358,2812163,52283515
9362,2812163,30042625
9365,2812194,6118198
9366,2812194,1342004
9368,2812194,48765237
9369,2812194,1961952
9407,2812194,5467024
9409,2812237,49593828
9501,2812262,49303760
9515,2812275,17837093
9518,2812275,1961952
9523,2812277,5558104
9526,2812277,51958364
9617,2812471,43390781
9619,2812471,33354891
9625,2812510,878437
9627,2812510,6154722
9629,2812510,57960713
9630,2812510,19235448
9631,2812510,251374
9661,2812510,17147106
9663,2812510,559357
9669,2812521,5755355
9744,2812591,8361762
9750,2812598,47275259
9883,2812644,6818654
