repo_id	rank
3314	4.704671768168126e-07
8514	1.0768356226713768e-06
14507	4.750158489254978e-07
18294	4.729666733208566e-07
34096	4.776043152240961e-07
35649	4.893159957376318e-07
36502	5.439975043306016e-07
47476	4.7526566831453976e-07
65252	4.918983130888913e-07
69609	5.171375965598669e-07
70148	4.751670444778784e-07
72221	5.247260705960493e-07
85953	4.916839785480198e-07
88354	4.5761166460582627e-07
88356	4.577772464564398e-07
88384	4.5794463427448104e-07
96395	4.866811515111747e-07
108050	4.686755506895846e-07
108051	4.690566058847781e-07
108125	4.6224049995586853e-07
108278	5.101065685144196e-07
113512	4.569851448459992e-07
115925	4.579269056514349e-07
117358	5.043100437010643e-07
117646	4.7330777178361973e-07
123235	4.5879868259493756e-07
129295	4.695699374895952e-07
130013	5.70759716495622e-07
133684	5.129575622347344e-07
138635	4.59028104158024e-07
143131	4.7201242577390993e-07
143580	4.782992963646999e-07
151541	4.6853796262561213e-07
156018	6.612886745575797e-07
160999	5.044613810167007e-07
161001	4.5830999566820133e-07
161005	4.5946788408383453e-07
168370	4.637716775928294e-07
184460	4.922701281783654e-07
192904	5.12462681876038e-07
197835	4.562071564500895e-07
206317	6.113848526645207e-07
206370	4.572178613039284e-07
206387	4.907880303340286e-07
206396	4.860500519765312e-07
206417	4.977855124997328e-07
206424	5.447299074212786e-07
206444	7.371646583804818e-07
206459	5.861042558927336e-07
206483	6.778050635121889e-07
214710	4.664229103867309e-07
228094	4.814672796041523e-07
230791	4.580898478224373e-07
233792	4.752231784928185e-07
235448	4.938327463188822e-07
247278	4.961190007276016e-07
258750	5.713552826817082e-07
265995	4.743004088788883e-07
274782	4.831399271784176e-07
278312	4.5590791666185113e-07
279553	5.345421648005787e-07
285722	4.586808228289403e-07
291137	6.015468859034037e-07
297058	4.6018269818104893e-07
299271	4.603132297835348e-07
299862	4.65966420402646e-07
301892	4.613878170282804e-07
302322	7.015568340505382e-07
304743	4.707420430588289e-07
309009	4.6974959398338433e-07
310611	4.852653305025678e-07
316598	4.761957879600976e-07
316712	4.796422894671577e-07
317887	1.0498313281102636e-06
340637	4.817556259287813e-07
346594	4.7360930040372816e-07
355634	4.918503445111709e-07
356066	4.85247398934916e-07
363150	4.71888735221106e-07
374927	5.940982193888971e-07
375152	4.800504407263398e-07
390217	4.5955600126615424e-07
437011	5.345295478847746e-07
458058	1.1013651758186566e-06
461209	4.939777772746538e-07
462292	5.040858511279857e-07
467471	4.7533328284158155e-07
471732	4.5712876755978395e-07
481872	6.05774206501689e-07
483644	4.5734390464281147e-07
486550	4.603022124675508e-07
487492	4.6943212051683134e-07
489645	4.5668519875699736e-07
490893	4.6914806449698515e-07
501687	5.25830881076018e-07
507775	7.054861973663626e-07
509028	4.583024370549824e-07
512295	4.560645998577719e-07
512679	4.5743817828226336e-07
514380	5.182244272129745e-07
517990	4.65396144179828e-07
519832	4.762315400940487e-07
521583	7.63461476122471e-07
529502	4.805129919632611e-07
537800	4.707698737285744e-07
538746	7.120700046256408e-07
541983	4.787120692725051e-07
542714	4.861463044858033e-07
548213	4.68311047373051e-07
564446	4.5733725873752635e-07
564599	4.716604121925604e-07
569041	7.469352666090769e-07
571770	5.052804489120011e-07
576201	1.0359322287912837e-06
578839	4.7405170008659097e-07
581718	4.5755072039692063e-07
590810	4.6243817120828804e-07
596892	5.210503105505333e-07
597879	4.926539115578948e-07
597887	6.282787132683605e-07
606956	4.779144826512478e-07
611921	4.6754337237515774e-07
612587	4.7246582152622163e-07
614070	5.717744125426144e-07
615969	5.446200648245553e-07
617210	5.091601591023349e-07
640534	5.345218954060259e-07
641512	4.734304905151032e-07
641729	4.7258402569822456e-07
644423	4.680096891242249e-07
648332	4.972163126124372e-07
656494	4.720001090001916e-07
658518	5.353859259272874e-07
659341	4.98922216067601e-07
667006	5.846737748867835e-07
671825	4.742496313569931e-07
677464	5.826360036658006e-07
679584	4.659863173110745e-07
684382	5.166165504706476e-07
687186	4.5624903734581817e-07
689344	5.57087114658706e-07
697520	4.6295775829417325e-07
699689	4.653433779206145e-07
701765	4.795709241893559e-07
712530	4.635281076399219e-07
715082	4.861823298555607e-07
715547	4.7280070740133037e-07
715605	4.83783085578915e-07
721054	4.643338351954324e-07
724712	2.0808590527771938e-06
732593	4.673901685053909e-07
744916	4.655705448762682e-07
756485	5.444803417503559e-07
760165	4.7436213614388547e-07
