repo_id	rank
3314	8.280433860903324e-05
8514	7.160759684708127e-07
14507	4.067330392425207e-08
18294	3.6189707717768397e-09
34096	4.068764895131137e-08
35649	3.6762183168671806e-08
36502	9.475234225204176e-08
47476	6.31795375508218e-06
65252	7.720033623443972e-05
69609	2.5709256827093234e-05
70148	1.2055839058884669e-08
72221	6.184989699950253e-05
85953	2.305265923416594e-07
88354	1.9844064509387564e-07
88356	2.4667838992603853e-07
88384	2.4582431437741654e-07
96395	7.706109762117557e-05
108050	2.9639619958361634e-09
108051	6.50141327336543e-09
108125	3.126393708712077e-09
108278	4.9352327314819865e-05
113512	2.4156921203827144e-09
115925	2.495065183819202e-09
117358	9.836163383875406e-09
117646	4.5305221136076994e-05
123235	7.395404101465838e-05
129295	9.386381287466516e-09
130013	2.7726073606159137e-07
133684	1.5539861753926006e-06
138635	2.5755589676308128e-09
143131	7.352196809226497e-09
143580	4.823867193220974e-08
151541	5.612949001510094e-09
156018	5.135847007047624e-07
160999	6.979269405784679e-08
161001	5.9410401577154705e-09
161005	3.173456861995006e-05
168370	6.679648347168501e-09
184460	6.960639567341534e-07
192904	4.3294548056587717e-08
197835	4.260566395893736e-05
206317	3.7252152345765833e-06
206370	6.9559811098062065e-09
206387	1.6674775465133012e-08
206396	4.6454641342109905e-05
206417	5.501591606316759e-08
206424	1.5480292367445538e-07
206444	5.06467610438187e-06
206459	2.7642063345122026e-05
206483	1.7362097412365813e-07
214710	7.574540820203058e-08
228094	4.918309071524077e-05
230791	3.3150818859978664e-05
233792	1.0090248022247537e-07
235448	3.9471924314017925e-05
247278	3.836541862272065e-05
258750	3.2005328322794277e-07
265995	3.6152063874495087e-09
274782	2.63055164915942e-08
278312	6.231683574208359e-05
279553	0.00010130539748347786
285722	2.556336724515593e-09
291137	3.130318343082358e-07
297058	7.976215320883859e-05
299271	1.0587530591299299e-08
299860	2.3211649679238965e-06
299862	2.95717489928333e-09
301892	7.359991530516266e-05
302322	1.3279123896954775e-06
304743	1.199277340068964e-08
309009	3.269034554604548e-09
310611	3.477025929477539e-08
316598	0.00012829589951475126
316712	8.591779690506231e-05
317887	8.541575395569174e-05
340637	2.132711220530156e-08
346594	4.386722564167604e-09
355634	1.1210061175466579e-07
356066	6.565594861003455e-06
363150	8.50245599268344e-06
374927	8.951799218931969e-08
375152	0.00014022691453222945
390217	5.497434165622832e-05
437011	2.315001373025967e-08
458058	6.173869321129607e-07
461209	3.784830146145071e-05
462292	5.967522007396691e-08
467471	5.652647407355775e-05
471732	0.00014630852758620706
481872	5.971989837387512e-07
483644	4.912686091135174e-05
486550	3.356713544009298e-05
487492	7.569716137961605e-05
489645	6.957785664900058e-05
490893	5.3023893935920606e-08
501687	1.27894605762786e-07
507775	4.731102548872354e-07
509028	7.406211073041541e-05
512295	5.608489984780805e-05
512679	3.684416593061228e-05
514380	0.00014684177212147696
517990	4.345537065050049e-09
519832	9.605349923560203e-08
521583	2.404980547765389e-07
529502	1.1674578015416583e-08
537800	6.858592052556305e-05
538746	4.272525209962817e-07
541983	1.7641939325820445e-08
542714	0.00014653942717244756
548213	0.00014641404498858676
564446	2.8532464986113568e-05
564599	4.07720774816561e-08
569041	6.31027525884019e-07
571770	5.3282661848630785e-08
576201	0.00014727655074907038
578839	3.4180086918170205e-09
581718	2.8989699729714644e-05
590810	5.503075319488991e-09
596892	4.5209360879767964e-05
597879	1.9861458783476507e-08
597887	8.075453001307655e-06
606956	5.987193263299996e-05
611921	3.9553339016807397e-05
612587	4.195582315934899e-05
614070	8.010368920285694e-08
615969	6.014774509379658e-08
617210	3.3868850174407255e-05
640534	3.9291887939248596e-08
641512	5.574678198405414e-05
641729	6.123788009547797e-08
644423	3.2872699169599462e-09
648332	2.0043866752509382e-08
656494	8.507599121372156e-08
658518	7.08038745842852e-08
659341	8.488552762250008e-08
667006	4.5625310267320347e-07
671825	2.7646076018091662e-05
677464	8.213258064102657e-06
679584	5.820363927700876e-05
684382	6.222756919745311e-05
687186	0.00010226912370113657
689344	1.0350747951578837e-07
697520	1.677411627991139e-08
699689	2.872258813280991e-09
701765	3.2856467956879225e-05
712530	1.1298198949195035e-06
715082	3.452269315231387e-05
715547	1.3412840663631538e-08
715605	1.9270827013956607e-08
721054	4.432920546678862e-05
724712	1.9141074119291264e-06
732593	7.606926841836834e-05
744916	3.030304824842172e-09
756485	2.5614341215207672e-05
760165	2.2096930757020545e-05
761653	3.16213053910381e-05
764708	3.9883170972498057e-07
775131	4.603523202963843e-08
778828	2.901444181316494e-09
781544	4.828678881405073e-05
790359	0.00015277967770334737
791611	6.692967749587618e-08
800928	3.3946251071427233e-08
806201	9.83434737000837e-09
814715	2.6846515855831203e-09
819907	2.837566816327271e-05
827590	1.451932238304756e-06
832676	2.3165757940595537e-08
841835	1.5203391074311668e-06
842037	9.797645562768903e-07
843222	3.0621285133623693e-07
847957	5.07359506412709e-06
858127	8.726110718891877e-06
858754	2.3567828785668813e-09
867564	2.043168694083884e-08
873328	4.0461173002383006e-05
879116	4.9960165858886096e-08
885517	1.583703560146024e-05
886774	9.384630862828047e-07
888427	3.708042361806477e-05
890377	2.3596721796937447e-08
891109	3.0168020646989317e-09
901662	1.2582345277257748e-07
908607	6.809972109494175e-05
910744	5.859646939833126e-08
910757	8.04762502645867e-08
911980	3.8845541308327846e-08
915844	5.191601992488065e-08
924551	9.351773848866928e-05
930571	5.313913825720706e-07
931135	6.037780676365942e-05
932314	5.742972280838122e-05
940538	3.4374290442107444e-05
942613	3.621485730394531e-06
957012	4.489761861221048e-08
959908	4.423091478239853e-07
960233	1.4523479239661492e-08
961036	1.5730431743287817e-07
962564	3.1551554453823472e-09
965135	2.856489150518613e-05
965782	5.2762784068781985e-08
989769	2.8306306806116826e-09
990281	2.840069493077645e-05
994551	6.166418317406936e-05
997338	4.514503514027652e-05
1033705	2.1235937937828522e-08
1039520	7.824542918078125e-08
1039662	2.4082606790642956e-09
1049088	4.0863271110884994e-09
1049095	1.3293443402268315e-07
1050245	7.562158228146838e-08
1050944	7.744071553788135e-05
1051476	8.586121293727652e-05
1056713	4.056648000223465e-05
1059291	9.296297653140554e-06
1062897	1.3022125545978831e-07
1064563	4.2777482289215904e-07
1068018	2.9451455193131467e-09
1069177	2.7407040982822924e-09
1084181	9.79905762950714e-06
1090311	0.00014639410490616226
1095228	4.1966212679035085e-07
1099265	1.2006461167966488e-07
1103607	3.545031480974908e-05
1125389	3.99575649204556e-05
1125630	6.592905590393396e-09
1138583	5.2156025761135955e-05
1147463	8.35656647316801e-08
1148753	8.280439199570538e-08
1151051	5.039812613269451e-05
1163435	3.9404383378598694e-05
1163681	3.0340377034352375e-05
1175581	8.690747532879507e-09
1181927	3.8965360289413596e-07
1204412	6.3819486905973915e-09
1206024	3.472296310796315e-05
1212922	3.75751413884745e-05
1213225	6.15060760359267e-07
1213474	4.471573739103591e-08
1217614	9.411401077473996e-06
