actor_id	rank
7	5.3544945688713885e-06
17	4.6978525135079325e-07
22	2.1688207602348966e-07
45	2.376436615415623e-07
47	2.0958288490168032e-07
69	4.404752861288353e-06
72	2.117489008483129e-07
75	2.3811107639378254e-07
78	1.9602413600790587e-06
80	5.191275924707262e-05
82	2.1196249358479834e-07
108	2.0958288490168032e-07
117	2.0958288490168032e-07
132	4.379748782426648e-07
134	7.592658080852916e-06
139	1.7760493884186612e-05
141	2.0958288490168032e-07
147	6.0657753050007396e-06
154	6.712933479735892e-05
159	2.3689698209226383e-05
188	2.537775529778037e-05
198	2.0958288490168032e-07
211	2.201085873038046e-05
215	2.239899193508342e-05
216	4.752948891514399e-05
233	1.2314480468690532e-05
235	2.0958288490168032e-07
257	2.259451429487172e-07
269	1.743100651192161e-06
278	8.647724349335862e-07
287	1.252139741607761e-05
300	1.0117856267099346e-05
318	2.283214648659464e-07
331	2.135582921662982e-07
346	7.074037560225705e-06
353	6.154646472333011e-06
354	2.1613871403831357e-07
384	5.0342176039464236e-05
405	2.548968093876004e-07
415	2.215220408207726e-06
420	2.0988451178751888e-07
423	2.1617084837408002e-07
425	6.46337344167531e-06
435	2.438500689081241e-07
452	8.72349855495041e-06
461	1.124691973436904e-05
468	2.137848867103497e-07
475	1.3551391304443276e-05
476	2.7355416442801684e-07
499	6.810464935289593e-07
500	2.1168786577749212e-07
505	2.0958288490168032e-07
509	2.0958288490168032e-07
518	1.8418894915157362e-05
533	1.986754876369522e-05
563	2.0958288490168032e-07
593	2.0958288490168032e-07
598	9.117122223641175e-06
640	3.193017685439387e-06
658	1.1677146160790118e-06
669	5.089124040511514e-07
674	2.0958288490168032e-07
690	3.070033814266145e-06
693	1.8452996925916736e-06
716	3.469514780198123e-07
752	5.885157902950129e-06
772	8.840836723459583e-05
797	5.5449208386757906e-05
806	4.1300541652300683e-05
837	5.349512915526217e-07
842	4.462650113518613e-06
843	4.90670695208708e-06
869	2.2982792233543073e-07
886	2.2505095059832586e-07
887	1.329664123588887e-06
924	2.0958288490168032e-07
947	2.699890298517343e-07
955	5.353797377482555e-06
988	2.237057694727964e-07
990	1.6610936000389656e-06
1000	7.016099238975919e-07
1022	6.897662285428373e-06
1042	2.6867968126464313e-05
1050	6.9205605075688e-07
1051	3.934302007051247e-05
1059	2.67446380555585e-07
1060	8.947857226118254e-06
1061	2.0958288490168032e-07
1084	5.662624147916014e-07
1090	2.8804852598031334e-05
1106	2.0991361463060556e-05
1107	1.6516531689150636e-05
1112	6.415550862906079e-06
1113	2.0958288490168032e-07
1134	3.2232112711718247e-06
1151	2.1578675941366873e-07
1169	2.43455234239372e-07
1181	2.0958288490168032e-07
1183	2.694849335700232e-07
1187	2.0958288490168032e-07
1212	2.7175228286183476e-06
1222	2.0958288490168032e-07
1232	2.0958288490168032e-07
1249	4.498700979770804e-05
1267	2.2301458871429663e-05
1270	2.3909839499773034e-07
1299	4.556199224838979e-06
1348	2.0958288490168032e-07
1366	5.15200567484281e-07
1377	1.428997556251155e-05
1384	2.0958288490168032e-07
1388	7.1024765512140405e-06
1396	3.347326611589102e-05
1428	2.2211780901810734e-07
1430	1.3255499499429084e-05
1452	2.0958288490168032e-07
1472	1.5426279689972748e-05
1486	3.226299081766934e-06
1497	7.040835981648659e-06
1510	1.2835413235517348e-05
1512	2.913553359940619e-05
1513	2.6271801277826974e-06
1514	3.141796797460895e-05
1541	3.2373479175918426e-06
1553	4.048943367947538e-06
1585	2.0364263802328422e-06
1589	5.0171653554151584e-05
1610	2.447863519895771e-06
1659	8.815202499035807e-06
1664	6.633655253219853e-06
1665	2.0958288490168032e-07
1694	1.3284668009971675e-06
1743	1.6344175659493226e-06
1802	2.0958288490168032e-07
1812	2.528251427429138e-06
1815	1.7532858356854436e-05
1838	4.822538565370745e-07
1850	9.374719043084741e-06
1880	3.091881159942498e-06
1894	3.9033821141823984e-07
1899	2.0981139577634858e-07
1900	2.1849403887648336e-07
1903	2.0992973598202402e-07
1915	2.41521099075905e-07
1918	4.382038465532682e-06
1930	2.2363709703012673e-07
1938	3.077749012877647e-05
1945	2.1123384835994792e-07
1963	2.071174228524214e-05
1973	2.0958288490168032e-07
1976	9.560719821739178e-06
2023	2.0958288490168032e-07
2027	2.48023393375861e-05
2030	1.0577522807922409e-05
2040	1.7535449510079848e-05
2066	3.5487904457337263e-07
2129	4.7394882717340236e-05
2130	1.5483108867881997e-06
2134	2.1353294056395467e-07
2141	2.1285886068222343e-07
2151	2.142958615785924e-07
2171	1.068538385029117e-05
2182	2.0958288490168032e-07
2187	2.0958288490168032e-07
2195	2.0958288490168032e-07
2210	2.0958288490168032e-07
2220	2.0958288490168032e-07
2221	2.0958288490168032e-07
2257	2.0996335080575741e-07
2289	5.086722697039211e-06
2320	9.480287106857052e-07
2338	2.058271932166871e-05
2341	2.0958288490168032e-07
2367	6.507246365066358e-06
2371	3.3258517456422633e-07
2373	1.9801316173339773e-05
2377	9.115132526219139e-07
2391	2.332568016369522e-06
2438	1.597381815832179e-05
2458	2.3874148664747056e-05
2476	1.613475577840671e-05
2488	2.4146710810972537e-05
2498	2.3584082969705884e-07
2546	2.0958288490168032e-07
2560	2.0757034351723538e-05
2567	3.2113605266816058e-06
2571	2.7447981266924175e-05
2603	2.1141677585820867e-07
2607	2.097844756545786e-07
2619	2.0979947312138073e-07
2621	3.197654878900972e-06
2627	2.611860167683955e-07
2629	1.8597107318415597e-05
2630	8.532381526893385e-06
2644	1.3001952253241115e-05
2650	2.3691688857372813e-07
2660	2.0958288490168032e-07
2687	4.379748782426648e-07
2699	8.150153300044449e-06
2741	4.570686845212625e-06
2743	4.836536040052463e-06
2767	1.9233531823381168e-05
2797	9.486735590304364e-07
2804	8.746653617963971e-06
2808	3.887455446624479e-06
2827	2.2258227778606648e-07
2876	2.0958288490168032e-07
2893	1.9771407405917942e-05
2911	2.0958288490168032e-07
2951	7.989169893921748e-06
2977	2.0958288490168032e-07
2988	2.4680996273189405e-05
3001	2.0240124235357508e-06
3012	2.0958288490168032e-07
3014	1.0582603701685421e-05
3044	2.1569103547699206e-07
3093	3.2071530403615343e-06
3104	1.958369360198262e-06
3124	3.2766583617533164e-07
3162	2.0958288490168032e-07
3166	1.982553165882525e-05
3169	1.0077849293973372e-05
3215	2.2206110243218982e-07
3221	3.1927111686622957e-06
3231	2.1876116114140475e-07
3248	2.1957755741698466e-05
3250	5.083718810573133e-06
3252	3.0281502174533436e-05
3261	3.1534688858333407e-06
3267	1.1485777522532648e-05
3274	2.1461999389368318e-07
3295	6.995723598199998e-05
3298	4.374778029723263e-06
3300	2.0958288490168032e-07
3303	2.128872695120868e-07
3309	1.3135307112918084e-05
3331	7.0042798674979215e-06
3341	3.352631882692733e-05
3342	1.2908509644096345e-05
3346	1.6423061594342465e-05
3360	1.7999217312006983e-05
3380	2.2757644741100678e-07
3387	2.9134700446211657e-07
3392	2.0958288490168032e-07
3397	4.238955081120487e-06
3414	2.0958288490168032e-07
3416	8.159932452886727e-07
3438	1.2421751181597132e-06
3461	2.0958288490168032e-07
3487	2.651772576281738e-07
3507	3.1045705425785526e-05
3514	2.0958288490168032e-07
3515	2.0958288490168032e-07
3535	6.535267026379781e-06
3548	5.836820347185231e-06
3556	2.2468501525772064e-06
3557	5.343806321728211e-05
3563	1.5899493551103234e-05
3565	3.3828722396468384e-05
3579	2.080035390133228e-06
3586	4.592843592724995e-06
3614	2.0958288490168032e-07
3620	2.0958288490168032e-07
3634	2.1058842090604136e-07
3653	5.446224775778816e-06
3658	3.883005696666737e-06
3660	6.00995828421867e-06
3689	1.1111202081222003e-05
3737	2.0958288490168032e-07
3766	1.3937621232976442e-05
3775	6.01302787630206e-06
3782	9.969492387516147e-06
3804	2.1718184715687267e-07
3808	2.16491964849633e-07
3811	2.0958288490168032e-07
3818	1.2274584410869107e-05
3846	2.709616906393428e-07
3853	9.54571955021576e-06
3889	2.1451533468830708e-07
3891	2.0958288490168032e-07
3905	1.9937716823746637e-05
3959	3.1762976875184876e-07
3967	4.6868440529118375e-07
3977	9.301425706103662e-06
3986	8.068965507505075e-05
3998	2.0216168376177185e-06
4002	2.1018287095052261e-07
4016	2.81872338613301e-06
4018	1.05938469406106e-05
4026	1.173730172701874e-05
4060	3.323557773323566e-06
4065	1.2646415138217328e-05
4068	1.9053289895560735e-06
4095	2.16582815549905e-07
4100	9.730428176162335e-06
4106	3.566410783977778e-05
4121	3.2363767979974236e-07
4126	2.0958288490168032e-07
4142	5.3390222958546e-05
4171	3.4609457316374606e-06
4182	3.16876759486908e-07
4183	6.799702227707682e-06
4196	3.6937589737976944e-06
4197	4.995762267227499e-06
4205	1.323260460294528e-05
4236	2.1119919423414286e-07
4251	3.773553936595213e-05
4252	2.8361493256221575e-05
4271	2.0958288490168032e-07
4293	2.2781308375483096e-07
4331	5.3315138522513955e-06
4338	2.3506305199951083e-07
4346	3.4525579561140644e-07
4353	4.55421239021602e-06
4361	8.022211394202912e-06
4365	2.4955006907513354e-06
4368	2.0216168376177185e-06
4378	2.154146191319746e-05
4383	1.943294208899261e-05
4390	1.4721125554171833e-05
4413	2.098765488569141e-07
4437	2.0958288490168032e-07
4443	2.8308618570831955e-06
4453	1.2907522501077705e-05
4483	2.0958288490168032e-07
4493	2.2306417634454647e-07
4516	9.451562637153606e-06
4575	2.2587968226717425e-07
4576	3.270736328705003e-05
4584	2.0958288490168032e-07
4651	5.7867288302341705e-06
4689	2.154648426108412e-07
4718	4.3450755948638853e-07
4729	2.0958288490168032e-07
4756	4.801778222090774e-07
4776	5.8121333225275975e-06
4780	5.316935342266515e-06
4804	1.302104896891009e-05
4821	2.0958288490168032e-07
4903	2.4996017995607943e-06
4912	2.0958288490168032e-07
4950	2.1072605321409765e-07
4963	4.2662105892521e-05
4967	2.209011623638248e-07
4970	8.354928514208996e-06
5043	2.742455730033229e-07
5054	3.320952020375343e-05
5094	2.1558635794296597e-07
5099	2.0958288490168032e-07
5102	2.0985147477479728e-07
5136	2.0958288490168032e-07
5176	2.0958288490168032e-07
5180	1.2956603166968536e-05
5213	1.5197178582655706e-05
5216	1.4706928008068288e-05
5254	5.858903801048163e-06
5261	6.883860763146113e-07
5268	6.288236821951029e-06
5271	2.1296444027237796e-07
5275	3.911417596097943e-05
5303	2.0958288490168032e-07
5310	7.2388778772431505e-06
5330	2.0958288490168032e-07
5336	4.1988620085660365e-06
5355	2.1820043730614188e-07
5363	8.507020242126689e-06
5385	7.148143177619322e-06
5387	2.107749847005644e-07
5390	2.1399283762000469e-07
5409	4.286165128219129e-05
5426	5.429138461579005e-06
5517	2.0958288490168032e-07
5518	1.7368500875034767e-05
5520	2.1204319108860422e-07
5545	3.86514925605841e-06
5565	2.5262727919810426e-07
5572	9.05407833995963e-06
5605	1.6383632025905948e-05
5628	2.1330420949481805e-07
5636	3.909900691913275e-06
5640	2.4134517364895475e-05
5649	2.0958288490168032e-07
5692	2.1005099936883068e-07
5703	9.341555262298764e-06
5738	2.1213441849115835e-07
5750	2.4385874664139014e-05
5778	7.423044858767621e-06
5799	6.604186500403775e-06
5859	4.407336667849776e-07
5865	2.113775390965653e-07
5900	2.2830765555689927e-05
5909	1.4927513796900519e-05
5920	1.4561348455137672e-06
5938	1.028347555746519e-05
5952	9.167619123086398e-06
5975	2.0958288490168032e-07
6027	2.0958288490168032e-07
6028	9.926144109071714e-06
6056	2.136044230822193e-07
6088	2.0958288490168032e-07
6097	4.446392503343976e-07
6104	1.341866409509296e-05
6114	9.279140761884088e-06
6142	2.0958288490168032e-07
6163	2.129810011502566e-07
6180	2.427077766595061e-07
6193	2.6828173404390144e-06
6214	2.0958288490168032e-07
6235	3.9576307724557596e-07
6251	1.425173894271358e-05
6269	2.0958288490168032e-07
6273	1.4674091274792204e-05
6290	3.4041755862060095e-06
6292	2.0958288490168032e-07
6321	1.5855707678560988e-05
6330	2.234086593178443e-05
6338	2.39519801996527e-07
6379	3.1775888275941742e-06
6399	8.890774044868796e-06
6401	7.2290084520131285e-06
6444	2.0958288490168032e-07
6473	2.98005330488288e-07
6480	2.3535096852135386e-06
6500	2.284888079717543e-07
6508	5.278541129793804e-07
6605	6.323537807048402e-06
6637	2.0958288490168032e-07
6642	9.47313877998149e-06
6678	1.6470216410407439e-06
6726	2.0958288490168032e-07
6843	4.258249148441002e-05
6875	2.0958288490168032e-07
6889	2.1235737541588935e-07
6915	2.885122924341081e-07
6916	1.6433422820077356e-06
6942	5.921791468902922e-05
7001	2.0985747723217245e-07
7032	2.0958288490168032e-07
7049	1.217140502701014e-05
7055	1.0870174538940082e-05
7057	7.905344586768793e-06
7074	8.99433983061633e-06
7130	5.172590588248054e-06
7139	2.0165093206635457e-06
7150	2.0958288490168032e-07
7156	2.65549818160486e-06
7167	8.846857200196638e-06
7181	2.81705784535447e-06
7215	2.5543031735263044e-05
7226	2.137472758796949e-07
7227	2.749149708232498e-07
7229	2.0958288490168032e-07
7248	2.1012413562739124e-07
7265	2.2779843798625222e-07
7280	1.6425271494112373e-06
7288	6.25757906435206e-07
7334	6.320571296339411e-06
7341	4.1095875255555207e-07
7370	5.673150565067648e-06
7371	1.5701007984932723e-05
7396	8.110276205832632e-05
7400	6.093584098965909e-06
7403	2.0958288490168032e-07
7414	2.0958288490168032e-07
7449	2.2092902548924294e-07
7477	1.2938419581061032e-05
7499	2.389758032995723e-07
7536	6.264205348838955e-06
7537	1.7930106065541606e-05
7541	2.7093726867031357e-05
7569	2.4939071479042005e-05
7595	6.064977857148457e-06
7659	3.5189404946050594e-06
7724	2.1337990185908687e-07
7736	1.3130885555295217e-05
7740	2.750651807638658e-05
7751	2.3543043119310867e-06
7757	3.341473789668081e-05
7790	7.096061303726746e-06
7821	1.7290046343298608e-06
7851	1.2175516332853471e-05
7908	1.0706759512658363e-06
7911	2.2223390842895886e-07
7993	2.567915860412694e-07
8034	2.1171827867417003e-07
8048	2.9176783626572765e-06
8052	1.9929535430582555e-06
8068	2.0958288490168032e-07
8073	2.0256217869103086e-06
8100	5.506075747772777e-07
8102	2.1220797390313387e-07
8110	6.108134668531796e-06
8132	1.3122755753344792e-05
8140	2.3174475777552257e-06
8156	6.629097543477146e-06
8157	2.0958288490168032e-07
8207	6.527881675933988e-07
8210	2.1211872654417474e-07
8218	2.098112271345693e-07
8245	2.2820037506343427e-05
8324	8.448503360455972e-06
8330	1.3325917325957018e-05
8360	2.0958288490168032e-07
8379	1.4444170796261707e-05
8381	2.0958288490168032e-07
8387	1.410377585970199e-05
8392	3.742157512581376e-06
8434	1.538595058868044e-05
8445	2.0958288490168032e-07
8448	1.4781910746208031e-05
