,actor_id,issuecomment,openissue,openPR,reviewcomment,mergePR,label,participation_score,code_contribution_score
514,41693562,7.0,0.0,0.0,0.0,0.0,0,7.0,0.0
515,41719159,4.0,0.0,8.0,8.0,4.0,1,4.0,76.0
516,41909825,3.0,1.0,0.0,0.0,0.0,0,5.0,0.0
517,41941775,0.0,0.0,1.0,0.0,1.0,0,0.0,8.0
518,42169302,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0
519,42445931,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0
520,42636900,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
521,42901638,1.0,2.0,0.0,0.0,0.0,0,5.0,0.0
522,43403833,10.0,0.0,0.0,0.0,0.0,0,10.0,0.0
523,43428011,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
524,43545086,10.0,1.0,0.0,0.0,0.0,0,12.0,0.0
525,43558814,4.0,1.0,0.0,0.0,0.0,0,6.0,0.0
526,43610203,2.0,5.0,0.0,0.0,0.0,0,12.0,0.0
527,43648730,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0
528,43675899,3.0,0.0,0.0,0.0,0.0,0,3.0,0.0
529,43678920,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
530,43805582,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
531,43838913,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
532,43953930,3.0,0.0,2.0,21.0,2.0,1,3.0,100.0
533,44031081,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
534,44107003,26.0,7.0,0.0,0.0,0.0,0,40.0,0.0
535,44183328,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
536,44188056,6.0,1.0,0.0,0.0,0.0,0,8.0,0.0
537,44219374,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
538,44253501,3.0,3.0,0.0,0.0,0.0,0,9.0,0.0
539,44425324,0.0,0.0,0.0,2.0,0.0,0,0.0,8.0
540,44515500,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
541,44526641,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
542,44633898,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
543,44646718,0.0,2.0,0.0,0.0,0.0,0,4.0,0.0
544,44690599,1.0,1.0,0.0,0.0,0.0,0,3.0,0.0
545,44720530,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
546,44743750,3.0,0.0,0.0,0.0,0.0,0,3.0,0.0
547,44748473,8.0,1.0,0.0,0.0,0.0,0,10.0,0.0
548,44995970,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
549,45023083,21.0,0.0,4.0,0.0,0.0,0,21.0,12.0
550,45024560,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
551,45056973,0.0,0.0,1.0,0.0,1.0,0,0.0,8.0
552,45066800,3.0,0.0,0.0,0.0,0.0,0,3.0,0.0
553,45086137,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
554,45134013,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
555,45140358,0.0,0.0,1.0,0.0,0.0,0,0.0,3.0
556,45171399,3.0,1.0,0.0,0.0,0.0,0,5.0,0.0
557,45189361,14.0,0.0,0.0,0.0,0.0,0,14.0,0.0
558,45480822,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
559,45517294,3.0,0.0,0.0,0.0,0.0,0,3.0,0.0
560,45743512,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
561,45811650,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0
562,45868513,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
563,45984089,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
564,46068933,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
565,46072190,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0
566,46082092,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
567,46156734,7.0,0.0,1.0,0.0,0.0,0,7.0,3.0
568,46183033,2.0,1.0,0.0,0.0,0.0,0,4.0,0.0
569,46213799,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
570,46314656,5.0,1.0,4.0,0.0,2.0,1,7.0,22.0
571,46340572,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0
